"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,Which of these is a mutable data type in Python?,int,list,tuple,str,8,2
2,"What is the output of len({1: 'a', 2: 'b'})?",0,1,TypeError,2,8,4
3,Which keyword is used to define a function in Python?,lambda,def,func,define,8,2
4,What is the output of if 5 > 2: print('Yes')?,None,Yes,Error,FALSE,8,2
5,Which method reads all lines from a file?,readall(),readlines(),getlines(),readfile(),8,2
6,What error is raised when dividing by zero?,ZeroDivisionError,SyntaxError,ValueError,IndexError,8,1
7,Which statement handles exceptions in Python?,try-except,do-catch,if-else,error-handling,8,1
8,How do you import a module in Python?,require(module),using module,import module,include module,8,3
9,Which command installs external Python packages?,add_package(),setup(),install(),pip install,8,4
10,Which file extension is used for Python files?,.txt,.py,.java,.cpp,8,2
11,Which function returns the data type of a variable?,type(),dtype(),data(),class(),8,1
12,What is the default return value of a function with no return statement?,undefined,None,0,,8,2
13,Which of these is a numeric data type in Python?,bool,string,float,char,8,3
14,How do you write a single-line comment in Python?,/* comment */,# comment,// comment,B,8,2
15,"What will bool("""") return?",None,Error,FALSE,TRUE,8,3
16,How do you open a file in write mode?,"open('file.txt', 'x')",write('file.txt'),"open('file.txt', 'w')","open('file.txt', 'r')",8,3
17,What is the purpose of finally in try-except blocks?,Ends loop,Catches errors,Always runs,Skips code,8,3
18,What does range(3) return?,"0,1,2,3","1,2","1,2,3","0,1,2",8,4
19,Which function returns the length of a list?,len(),size(),count(),length(),8,1
20,What type is the value True in Python?,NoneType,bool,str,int,8,2
21,How do you install the numpy package?,pip install numpy,setup numpy,conda install numpy,import numpy,8,1
22,What is the correct way to catch any exception?,except Exception:,handle Exception,except:,catch(Exception),8,1
23,What keyword is used to exit a loop early?,break,quit,stop,exit,8,1
24,Which function is used to get input from users?,scan(),get(),read(),input(),8,4
25,What is the output of type([])?,set,dict,list,tuple,8,3
26,What does str(10) return?,None,10,10,int,8,2
27,Which data type does not allow duplicates?,dict,list,set,tuple,8,3
28,"What does open('file.txt', 'a') do?",Appends to file,Reads file,Deletes file,Creates file,8,1
29,What is the result of 2 ** 3?,9,6,5,8,8,4
30,What module is used for math operations?,calc,math,formula,numbers,8,2
31,Which operator is used for exponentiation in Python?,^,**,exp,^^,8,2
32,What does the not keyword do in Python?,Negates a boolean,Checks null,Returns true always,Loops value,8,1
33,Which of the following is a Python keyword?,loop,for,repeat,iterate,8,2
34,What will print(4 // 2) output?,2,1,0,2,8,4
35,Which of the following is a tuple?,"{1, 2}","(1, 2)","<1, 2>","[1, 2]",8,2
36,How do you convert a list to a set?,list.set(),convert(list),toSet(list),set(list),8,4
37,What does elif stand for?,else if,else then,if else,else or,8,1
38,Which function gives the ASCII value of a character?,ord(),ascii(),chr(),char(),8,1
39,Which module is used for working with dates?,datetime,calendar,time,date,8,1
40,Which of the following is not a loop in Python?,for,while,repeat,nested for,8,3
41,What does is keyword check?,Type,Object identity,Equality,Memory usage,8,2
42,What is the output of bool(1)?,None,FALSE,1,TRUE,8,4
43,"What does isinstance(5, int) return?",Error,TRUE,None,FALSE,8,2
44,Which keyword is used to skip the current iteration in a loop?,continue,exit,skip,pass,8,1
45,Which method is used to add an element to a list?,push(),insert(),append(),add(),8,3
46,What does list(range(3)) return?,"[0, 1]","[0, 1, 2]","[1, 2, 3]","[0, 1, 2, 3]",8,2
47,Which method removes the last item from a list?,drop(),pop(),remove(),delete(),8,2
48,What is the result of 'Python'[::-1]?,Python,Error,nohtyP,htyP,8,3
49,Which exception is raised when accessing a non-existent list index?,ValueError,IndexError,KeyError,AttributeError,8,2
50,What is the purpose of with statement in file handling?,Automatic file close,Read-only mode,Write file,Creates file,8,1
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
